label,class
stainless steel electric stove,ElectricStove
gas stove,GasStove
single induction hob induction stove,SingleInductionHobInductionStove
alarm clock,AlarmClock
cd player,CdPlayer
computer,Computer
laptop,Computer
dvd player,DvdPlayer
fan,Fan
portable fans,Fan
ceiling fan,Fan
game console,GameConsole
video games,GameConsole
game console - nintendo wii,GameConsole
game console ps3,GameConsole
game console ps2,GameConsole
ipad,Ipad
ipod dock,IpodDock
radio,Radio
‘ruark’ deluxe bluetooth radio bluetooth sound system,Radio
socket near the bed,SocketNearTheBed
toaster,Toaster
blender,Blender
bread maker,BreadMaker
ev charger,EvCharger
rice maker,RiceMaker
sound system,SoundSystem
trash compactor,TrashCompactor
game,GameEquipment
game equipment,GameEquipment
karaoke,Karaoke
badminton equipment,BadmintonEquipment
tennis equipment,TennisEquipment
table tennis,TableTennis
darts,Darts
billiards,Billiards
pool table,Billiards
board games/puzzles,BoardGamesPuzzles
board games,BoardGamesPuzzles
bed linen,BedLinen
bed sheets,BedLinen
bed linens,BedLinen
linen,BedLinen
sun loungers or beach chairs,SunLoungersOrBeachChairs
sun lounger,SunLounger
tea/coffee maker,TeaCoffeeMaker
bikes available (free),BikesAvailableFree
carpeted,Carpeted
fax,Fax
pet basket,PetBasket
mosquito net,MosquitoNet
pet bowls,PetBowls
electric blankets,ElectricBlankets
slippers,Slippers
outdoor furniture,OutdoorFurniture
sun umbrellas,SunUmbrellas
pool/beach towels,PoolBeachTowels
barbecue utensils,BarbecueUtensils
ethernet connection,EthernetConnection
fireplace guards,FireplaceGuards
hanger,Hanger
hangers,Hanger
room-darkening shades,Room-DarkeningShades
food and drinks,FoodAndDrinks
bottle of water,BottleOfWater
oil,Oil
salt and pepper,SaltAndPepper
child care,ChildCare
baby safety gates,BabySafetyGates
kids' outdoor play equipment,KidsOutdoorPlayEquipment
strollers,Strollers
child safety socket covers,ChildSafetySocketCovers
children's high chair,ChildrenSHighChair
baby monitor,BabyMonitor
changing table,ChangingTable
children books and toys,ChildrenBooksAndToys
children’s dinnerware,ChildrenSDinnerware
crib,Crib
pack ’n play/travel crib,Crib
outlet covers,OutletCovers
table corner guards,TableCornerGuards
window guards,WindowGuards
furniture,Furniture
sofa,Sofa
clothing storage,ClothingStorage
wardrobe or closet,ClothingStorage
closet,Closet
dresser and closet,Closet
walk-in closet,Walk-InCloset
closet and dresser,ClosetAndDresser
clothes rack,ClothesRack
desk,Desk
dedicated workspace: table,Desk
dedicated workspace: desk and office chair,Desk
dedicated workspace: desk,Desk
dining table,DiningTable
drying rack for clothing,DryingRackForClothing
fireplace,Fireplace
indoor fireplace,Fireplace
high chair,HighChair
soundproofing,Soundproofing
piano,Piano
